monitorTime,weight,amplitude,obliguity,windSpeed,moment,height,rotation,安全状态
2025-09-22 00:00:00,29.97,76.06,0.7,6.47,1823.61,85.82,28.1,安全
2025-09-22 00:00:30,4.66,69.3,0.3,7.65,258.35,11.33,174.6,安全
2025-09-22 00:01:00,66.6,14.17,-0.95,1.99,754.98,167.34,94.5,安全
2025-09-22 00:01:30,34.56,23.31,0.34,1.52,644.47,160.69,65.9,安全
2025-09-22 00:02:00,36.49,62.82,-0.9,5.56,1833.84,325.83,8.4,安全
2025-09-22 00:02:30,48.61,12.92,-1.3,10.25,502.43,531.1,145.5,安全
2025-09-22 00:03:00,24.38,7.82,0.55,4.76,152.52,67.13,89.1,安全
2025-09-22 00:03:30,2.76,72.75,-0.72,7.16,160.63,171.45,93.6,安全
2025-09-22 00:04:00,43.74,14.45,0.83,10.47,568.84,516.73,161.1,预警
2025-09-22 00:04:30,93.2,4.73,-1.36,2.12,396.75,544.6,234.9,预警
2025-09-22 00:05:00,28.55,22.48,-2.41,10.46,577.62,593.54,162.5,预警
2025-09-22 00:05:30,65.24,47.63,-2.41,7.88,2796.64,509.78,216.9,预警
2025-09-22 00:06:00,95.32,16.28,0.41,30.98,1551.81,651.66,386.9,危险
2025-09-22 00:06:30,9.58,57.06,0.78,6.07,437.31,424.03,88.9,安全
2025-09-22 00:07:00,41.82,33.82,-1.42,1.17,1131.48,17.3,114.6,安全
2025-09-22 00:07:30,25.16,40.69,1.22,2.7,819.01,225.72,136.0,安全
2025-09-22 00:08:00,18.31,6.17,-0.63,1.75,90.38,511.33,145.5,安全
2025-09-22 00:08:30,50.68,65.06,0.91,2.02,2637.79,490.91,97.1,安全
2025-09-22 00:09:00,64.6,60.66,1.61,3.44,3526.77,234.92,147.2,预警
2025-09-22 00:09:30,68.86,0.47,-0.25,5.52,29.13,122.17,21.6,预警
2025-09-22 00:10:00,27.02,81.55,-1.69,3.5,1983.13,619.0,184.2,预警
2025-09-22 00:10:30,39.78,24.11,2.05,3.08,863.19,501.57,241.9,预警
2025-09-22 00:11:00,19.17,13.11,1.63,5.29,226.19,592.18,226.1,预警
2025-09-22 00:11:30,98.16,27.28,1.01,0.98,2677.8,633.11,304.1,危险
2025-09-22 00:12:00,3.27,47.28,0.53,0.19,123.68,281.66,40.8,安全
2025-09-22 00:12:30,51.62,12.94,0.57,4.18,534.37,515.2,24.8,安全
2025-09-22 00:13:00,27.29,9.09,1.27,9.48,198.45,141.88,118.8,安全
2025-09-22 00:13:30,65.38,37.37,0.09,2.62,1954.6,51.22,161.5,安全
2025-09-22 00:14:00,72.03,40.51,-0.48,3.78,2334.35,399.28,161.5,安全
2025-09-22 00:14:30,70.97,50.31,0.43,0.92,2856.4,88.9,161.7,安全
2025-09-22 00:15:00,48.52,0.71,-1.2,7.17,27.56,2.79,28.9,安全
2025-09-22 00:15:30,43.9,54.0,0.46,2.43,1896.48,391.7,42.7,安全
2025-09-22 00:16:00,26.04,59.72,0.45,9.17,1244.09,361.69,102.3,安全
2025-09-22 00:16:30,7.5,34.94,-1.38,2.87,235.84,608.83,231.9,预警
2025-09-22 00:17:00,40.22,46.09,0.67,10.75,1668.37,498.1,177.6,预警
2025-09-22 00:17:30,75.24,59.5,1.37,9.88,4029.1,549.64,246.8,预警
2025-09-22 00:18:00,96.47,19.94,-0.99,21.94,1923.61,640.84,521.5,危险
2025-09-22 00:18:30,85.11,5.59,1.47,6.65,428.19,561.14,227.2,预警
2025-09-22 00:19:00,88.16,20.11,0.93,13.99,1595.61,611.53,206.1,预警
2025-09-22 00:19:30,98.25,35.71,-7.46,8.6,3508.51,634.9,277.3,危险
2025-09-22 00:20:00,46.27,2.77,-0.1,5.87,102.53,157.6,106.3,安全
2025-09-22 00:20:30,2.45,3.0,0.97,3.9,5.88,69.89,94.0,安全
2025-09-22 00:21:00,61.6,14.94,0.37,0.93,736.24,28.43,95.6,安全
2025-09-22 00:21:30,43.26,49.96,0.68,10.54,1729.02,283.97,58.1,安全
2025-09-22 00:22:00,63.62,18.47,-0.18,0.86,940.05,13.95,173.3,安全
2025-09-22 00:22:30,66.88,46.32,-0.27,1.88,2478.31,86.05,45.0,安全
2025-09-22 00:23:00,43.94,55.76,0.48,3.03,1960.08,525.18,132.8,安全
2025-09-22 00:23:30,44.35,47.61,-0.24,2.68,1689.2,195.79,136.4,安全
2025-09-22 00:24:00,1.16,9.29,-1.36,0.45,8.62,470.5,126.7,安全
2025-09-22 00:24:30,37.94,7.84,-0.03,5.12,237.96,95.27,78.1,安全
2025-09-22 00:25:00,31.89,49.27,0.41,0.5,1256.98,206.04,112.7,安全
2025-09-22 00:25:30,40.26,68.4,0.48,1.77,2203.03,38.82,115.6,安全
2025-09-22 00:26:00,85.47,53.84,-0.34,6.22,4141.53,353.81,82.5,预警
2025-09-22 00:26:30,43.65,73.59,1.22,14.8,2890.98,107.69,12.5,预警
2025-09-22 00:27:00,72.42,6.03,-1.29,7.38,393.02,602.81,233.7,预警
2025-09-22 00:27:30,22.56,10.49,2.36,7.53,212.99,597.52,177.6,预警
2025-09-22 00:28:00,90.56,54.2,0.83,11.68,4417.52,613.76,199.8,预警
2025-09-22 00:28:30,98.77,5.23,0.98,26.07,516.57,633.08,509.7,危险
2025-09-22 00:29:00,31.14,0.88,1.22,0.99,21.92,175.63,171.0,安全
2025-09-22 00:29:30,76.05,35.54,0.4,4.85,2162.25,161.27,59.2,安全
2025-09-22 00:30:00,53.8,55.0,0.87,8.53,2367.2,50.17,89.0,安全
2025-09-22 00:30:30,4.61,43.97,-0.18,9.59,162.16,193.01,21.1,安全
2025-09-22 00:31:00,11.45,60.92,0.35,1.1,558.03,46.27,126.2,安全
2025-09-22 00:31:30,5.83,65.75,0.62,0.89,306.66,46.67,177.6,安全
2025-09-22 00:32:00,29.95,29.66,0.94,10.23,710.65,542.3,135.6,安全
2025-09-22 00:32:30,30.11,6.69,0.83,6.04,161.15,233.33,163.1,安全
2025-09-22 00:33:00,8.9,39.42,-1.47,5.07,280.67,30.98,21.4,安全
2025-09-22 00:33:30,9.41,51.94,0.74,6.3,391.0,529.2,67.5,安全
2025-09-22 00:34:00,22.86,69.49,-0.83,10.4,1270.83,6.69,174.6,安全
2025-09-22 00:34:30,3.46,71.29,0.08,10.72,197.33,40.6,99.7,安全
2025-09-22 00:35:00,77.54,32.03,0.39,7.52,1986.88,250.0,113.0,安全
2025-09-22 00:35:30,46.75,69.05,-1.36,3.04,2582.47,522.73,160.2,安全
2025-09-22 00:36:00,36.46,49.61,-0.67,2.04,1447.02,255.04,63.6,安全
2025-09-22 00:36:30,46.7,5.97,1.42,10.65,223.04,383.99,96.5,安全
2025-09-22 00:37:00,24.77,65.11,0.55,1.76,1290.22,501.01,148.1,安全
2025-09-22 00:37:30,75.98,45.0,0.34,4.52,2735.28,513.0,155.9,安全
2025-09-22 00:38:00,3.63,2.12,-0.37,8.76,6.16,543.0,27.1,安全
2025-09-22 00:38:30,47.53,29.04,1.41,9.1,1104.22,461.08,84.4,安全
2025-09-22 00:39:00,33.19,21.88,-1.33,9.34,580.96,447.1,179.9,安全
2025-09-22 00:39:30,79.73,33.4,0.81,10.2,2130.39,467.31,44.5,安全
2025-09-22 00:40:00,36.05,10.34,1.36,6.55,298.21,125.76,120.9,安全
2025-09-22 00:40:30,49.45,26.97,-1.16,7.26,1066.93,286.17,139.0,安全
2025-09-22 00:41:00,41.62,67.48,0.16,6.06,2246.81,482.16,72.6,安全
2025-09-22 00:41:30,10.73,2.31,0.77,6.7,19.83,387.25,38.3,安全
2025-09-22 00:42:00,10.92,1.17,-0.45,6.38,10.22,215.74,78.7,安全
2025-09-22 00:42:30,72.33,22.24,0.04,8.47,1286.9,218.1,112.0,安全
2025-09-22 00:43:00,68.99,62.19,-1.06,10.01,3432.39,270.67,46.5,安全
2025-09-22 00:43:30,94.54,25.98,-0.78,13.06,2210.53,511.45,175.4,预警
2025-09-22 00:44:00,11.11,60.53,1.19,11.55,605.24,580.18,178.9,预警
2025-09-22 00:44:30,3.28,13.52,3.4,18.88,44.35,637.69,309.8,危险
2025-09-22 00:45:00,29.15,40.28,0.57,0.43,939.33,439.68,113.0,安全
2025-09-22 00:45:30,6.55,69.89,1.26,0.67,366.22,152.29,145.1,安全
2025-09-22 00:46:00,59.86,12.94,-0.87,4.01,619.67,266.49,111.3,安全
2025-09-22 00:46:30,29.52,37.01,0.74,0.41,874.03,138.85,128.4,安全
2025-09-22 00:47:00,71.62,32.85,-1.99,5.75,2117.45,525.94,195.2,预警
2025-09-22 00:47:30,1.62,30.6,-1.14,11.45,44.61,570.74,231.4,预警
2025-09-22 00:48:00,39.88,6.96,-6.76,27.85,277.56,626.78,332.3,危险
2025-09-22 00:48:30,29.05,51.68,0.21,3.85,1201.04,542.58,109.0,安全
2025-09-22 00:49:00,18.99,8.15,-1.04,2.66,123.81,88.38,33.6,安全
2025-09-22 00:49:30,22.81,13.88,1.19,0.88,253.28,288.49,73.9,安全
2025-09-22 00:50:00,78.59,6.81,-0.31,10.47,428.16,476.03,147.1,安全
2025-09-22 00:50:30,20.64,13.68,0.51,10.04,225.88,306.22,102.9,安全
2025-09-22 00:51:00,22.41,61.56,-0.94,3.5,1103.65,234.0,91.4,安全
2025-09-22 00:51:30,19.4,9.2,0.33,3.12,142.78,319.69,27.8,安全
2025-09-22 00:52:00,38.5,42.61,-1.34,3.64,1312.39,73.94,11.4,安全
2025-09-22 00:52:30,79.2,19.48,0.93,2.76,1234.25,374.83,136.8,安全
2025-09-22 00:53:00,47.66,35.92,-0.26,3.77,1369.56,511.24,149.5,安全
2025-09-22 00:53:30,77.2,7.64,0.69,10.13,471.85,99.69,12.0,安全
2025-09-22 00:54:00,59.29,40.42,1.03,1.52,1917.2,437.4,36.3,安全
2025-09-22 00:54:30,13.1,13.15,0.94,7.19,137.81,287.69,64.6,安全
2025-09-22 00:55:00,70.18,25.48,-1.97,12.04,1609.37,590.39,182.4,预警
2025-09-22 00:55:30,71.97,24.58,0.37,14.51,1592.12,614.92,191.5,预警
2025-09-22 00:56:00,11.15,58.55,0.87,34.58,652.83,627.57,340.4,危险
2025-09-22 00:56:30,19.89,59.52,-1.4,6.16,947.08,419.35,157.8,安全
